"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C10,C9";"0603C";2;"22pF";;;
2;"C11,C6,C13,C12,C4";"0603C";5;"100nF";;;
3;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";"buzzardLabel";72;"";;;
4;"R2,R1,R5";"0603R";3;"1k";;;
5;"R3,R4,R12,R9,R6";"0402R";5;"2k2";;;
6;"F1";"1206FUSE";1;"1206FUSE-500mA";;;
7;"X1";"CRYSTAL_3225__4_PAD";1;"16MHz";;;
8;"R17,R10,R13,R15,R16";"0603R";5;"10k";;;
9;"C1,C2";"0603C";2;"0.1uF";;;
10;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
11;"C5,C3,C7,C8";"0603C";4;"2.2uF";;;
12;"D2";"0402LED";1;"white";;;
13;"K5,K4";"HEADER_MALE_15X1";2;"HEADER_MALE_15X1";;;
14;"REF**";"Logo-Back-SolderedFULL-17mm";1;"Logo-Front-SolderedFULL-17mm";;;
15;"R7,R8";"0603R";2;"5.1k";;;
16;"U2";"TPS7A2633DRVR";1;"TPS7A2633DRVR";;;
17;"JP1";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
18;"D4";"WS2812B-2020";1;"WS2812B-2020";;;
19;"U1";"SOP-16";1;"CH340C";;;
20;"K1";"easyC-connector";1;"easyC-SMD";;;
21;"D1";"0402LED";1;"blue";;;
22;"G***";"Symbol-Front-Battery";1;"LOGO";;;
23;"U5";"SOT-363";1;"NMOS-DUAL";;;
24;"Q1";"SOT-23-3";1;"PMOS-SOT-23-3";;;
25;"D3";"0402LED";1;"purple";;;
26;"U4";"ATMEGA_328P";1;"ATMEGA_328P";;;
27;"R14";"0603R";1;"100k";;;
28;"D5";"0402LED";1;"red";;;
29;"JP3,JP2";"SMD_JUMPER_3_PAD_TRACE";2;"SMD_JUMPER_3_PAD_TRACE";;;
30;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
31;"SW1,SW2";"YTSA007A0151803B";2;"YTSA007A0151803B";;;
32;"H1,H2";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
33;"K3";"JST-2pin-SMD";1;"JST-2pin-SMD";;;
34;"G***";"Logo-Front-easyC-5mm";1;"LOGO";;;
35;"G***";"Symbol-Front-USB";1;"LOGO";;;
36;"U3";"TP4056M-MSOP8";1;"TP4056M";;;
37;"R11";"0603R";1;"3k";;;
38;"D7";"SOD-323";1;"BAT20J";;;
39;"G***";"Logo-Front-Soldered-3.5mm";1;"LOGO";;;
40;"D6";"0402LED";1;"orange";;;
41;"K2";"U262-161N-4BVC11";1;"U262-161N-4BVC11";;;
42;"";"Version1.0.0.";1;"";;;
